Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Extraordinary Mission	2017	drama	Alan Mak, Anthony Pun	Huang Xuan, Duan Yihong, Lang Yueting, Zu Feng	The film tells the story of an undercover police officer, Lin Kai (Huang Xuan), who accepts an assignment to take down a drug trafficking syndicate from the inside. His mission takes him to the Golden Triangle, where a heroin grower has been holding a police officer prisoner for ten years.	Chinese
Doubutsu Sentai Zyuohger vs. Ninninger the Movie: Super Sentai's Message from the Future	2017	drama	Noboru Takemoto	Masaki Nakao, Miki Yanagi, Shohei Nanba, Tsurugi Watanabe, Haruka Tateishi	"The film begins with a boy desperate at the sight of both the Zyuohgers and the Ninningers apparently dead. Back to the previous day, Yamato, Sela, Leo, Tusk and Amu are camping beside a river when they are attacked by Takaharu, Yakumo, Nagi, Fuuka and Kasumi, who mistaken them for evil Youkai. After a vicious battle between both Sentai, Yamato and Takaharu get stranded while the other four Ninningers return home to meet Runrun, an alien who claims that the Zyuohgers pretended to be her tribe's friends before betraying and killing all her companions, but is actually Gilmarda, an assassin hired by Naria in disguise, instigating them against the Zyuohgers, while using his pollen to jam all communications in the vicinity. Meanwhile, Takararu and Yamato's fight is interrupted by Yoshiharu, Takararu's son who came from the future to prevent the Zyuohgers and the Ninningers from killing each other and ending the history of Super Sentai.
Not meeting his friends at the camp site, Misao returns to Uncle Mario's house where he is abducted by the other Ninningers and Runrun uses some vines and a mask to restrain him, while the other Zyuohgers encounter Kinji, and after learning that he is also a Ninninger and that Misao was taken by the others, capture him as well. Back at the Ninningers' house, the mask in Misao's mouth speaks with his voice to Yakumo and the others to incriminate him, and he desperately looks for a way to convey the truth to them. In the next day, the six Zyuohgers and six Ninningers gather at a stadium and their confrontation apparently leads to their deaths, before a desperate Yoshiharu, but a triumphant Runrun is surprised when learning that it was all an illusion cast by the Ninningers, who reveal that Misao used his butt to instruct the other Ninningers to remove his mask and learn the truth from him, leading them to apologize to the Zyuohgers and together, they devised a plan to get back on Runrun's trickery.
Exposed, Gilmarda removes his disguise and creates copies of Bangray, Jagged, Gengetsu Kibaoni, Raizo Gabi and Masakage Tsugomori to fight the Ninningers and the Zyuohgers, who transform to fight back. Zyuoh Eagle and Akaninger have a hard time against the Gengetsu clone, until Yoshiharu and Tsumuji appear to help them. In the occasion, a sealing shuriken appears and transforms into a Nin Shuriken for Yoshiharu to use. Yoshiharu, his father and grandfather then transform into Akaninger to face Gengetsu, while Zyuoh Eagle chases after Gilmarda. Naria brings Azald and Quval to assist Gilmarda, but Bud appears to stand in their way, when the Kyurangers suddenly arrive and drive the three villains away. After the Kyurangers leave, Bud concludes that their appearance is a sign that history was successfully altered, allowing the legacy of Super Sentai to continue.
With the clones destroyed, the Ninningers and Zyuohgers join forces to defeat Gilmarda, who enlarges himself with some Continue Medals and decides to destroy the whole planet. The two sentai then form Wild Tousai Dodeka King and King Shurikenzin to fight Gilmarda, but the enemy easily overpowers them. Just as the heroes are about to be killed, they have a vision of the previous 38 Red Sentai, who bestow them the power to form Wild Tousai Shuriken King, that infused with the power of all the Super Sentai, destroys Gilmarda once and for all. Having prevented his father's death, Yoshiharu bids farewell to him and his friends before returning to the future. As the others wonder how Yoshiharu came to exist since his father originalliy died in the current day, Takaharu deduces that his new wife must be already pregnant, revealing that he has just married, a fact that astonishes even his own family, who was unaware of it."	Japanese
One Night	2016	drama	Liu Ziwei Fu Weng	Wang Junping, Fu Weng, Du Xiaoxiong, Zhou Yenan, Wang Zhuo, Ju Hongyu, Deng Hongyang	Bea (Isabelle Fuhrman), a worrisome teenager, reconnects with her introverted childhood friend, Andy (Kyle Allen). The two overcome their differences in social status one night after their high school prom. Thirty-something Elizabeth (Anna Camp) which is an older Bea, must decide whether to salvage her relationship with Drew (Justin Chatwin) who is an older Andy, after much personal disappointment.	Chinese
Happiness	2016	drama	Andy Lo	Kara Hui, Carlos Chan, Cya Liu, Louis Cheung, Yan Ng, James Ng, Lawrence Chou, Lam Siu-ha, Chin Siu-ho, Teresa Mak, Stephanie Che, Siu Yam-yam	"After the death of his mother, Chan Kai-yuk (Carlos Chan) moves from Guangzhou to Hong Kong and attempts to reunite with his father (Chin Siu-ho) who has abandoned them and started a new marriage already. Sacked from a restaurant, Chan cannot afford the housing rental fee and is forced to leave. While sleeping on the street, he is helped by Kam (Louis Cheung) who is a chef at Beloved Community Centre, which is dedicated to providing support for the needy in the area. Although he is offered a job at the centre, he cannot accept it unless he has a proof of address. He then turns to seek help from Tse Yuen-fan (Kara Wai) who he randomly encountered and helped at a wet market previously.
Tse is a middle-aged childless ex-singer who lives by herself after her only tenant moved out. Initially suspicious of Chan, she later accepts him to be her new tenant after he gives her a dozen of eggs as present. She lives a simple and routine lifestyle and demands that Chan strictly follow her timetable at the living room. Now with a residential address, Chan starts to work at Beloved, where he is introduced to Xiaoyue (Cya Liu), a social work intern student from Guangzhou, and Fong (Yan Ng), a social worker. Assigned to a food sharing scheme, Chan co-operates with Xiaoyue whom he has a crush on but knows about her relationship later.
Making fun and then feeling frustrated with Tse's poor memory, Chan takes her to Beloved, where Fong refers her to a Mini–Mental State Examination. She receives lower-than standard points and is diagnosed with mild cognitive disorder. He is at first indifferent to the result but starts to realise the seriousness when she loses her direction en route home. Fear that he will have to take on the responsibility of taking of her when her condition deteriorates, he flees the flat without informing her. However, after seeing her searching for him recklessly in nearby areas, he remembers his own late mother and therefore returns, against his closest friend Fat's (James Ng) advice. Under his monitoring, she begins medication that aims to slower the deterioration of her cognitive condition.
With Fat's assistance, Chan is able to locate his father along with his new family. He then secretly takes his step younger brother to an indoor playground and treats him with ice-cream. Nevertheless, he is unaware of his brother's peanut allergy, which causes the boy to develop acute symptoms. When taking him to the hospital, Chan is beaten his angry father, who is ordered by his new wife to cut any connections with him. When Chan tearfully agrees not to disturb his father's life again, he is comforted by Tse and Xiaoyue. There, Tse asks Chan to call her mother.
Gradually realising her worsening condition, Tse makes a will to name Chan the inheritor of all her properties, including the flat she inherited from her former boss, on the condition that he will take care of her in the capacity of her son. Living like a family, Tse is indulged in her past hobby of drawing and Chan starts his new job at a restaurant. At a visit to Beloved, he is told that Xiaoyue has already returned to Guangzhou. Her leaving note reveals that she has been admiring his love towards his terminally ill mother since they met before at a Guangzhou hospital, although he did not recognise her. Although her relationship with her boyfriend has failed in the end, she treasures the interpersonal bondings in Hong Kong, especially that between Chan and Tse."	Hong Kong
Boundaries (Pays)	2016	drama	Chloé Robichaud	Emily VanCamp, Macha Grenon, Serge Houde, Rémy Girard	"Félixe Nasser-Villeray (Nathalie Doummar) is a young, newly elected Member of Parliament. She has been assigned to be part of a delegation from Canada sent to the (fictional) independent nation of Besco to try and negotiate on behalf of the Canadian government for mining rights. Danielle Richard (Macha Grenon), is the newly elected president of Besco. She wants to renegotiate the deal that her predecessors struck with the Canadian government as she finds the terms unfavourable. Additionally the Canadian government has not been adhering to the terms that they had previously agreed to. The two parties meet in secret in a school gym to hash out a deal, with mediator Emily Price (Emily VanCamp) assigned to stay neutral.
Initially progress seems to be being made; the Canadian delegation offers to help subsidize some of the costs of mining and environmental protection and offer to help put pressure on the Canadian mining company, Sherman, to help the Besco government. However they abruptly pull out of negotiations and Torpe, the lead Canadian delegate tells president Richard that she must grant Sherman the rights to the mine or Canada will never agree to looser restrictions that will let Besco expand their fishing industry."	Canadian
God's Pocket	2014	drama	John Slattery	"Philip Seymour Hoffman
Richard Jenkins
Christina Hendricks
Caleb Landry Jones"	When a blue collar worker's stepson is killed in a mysterious accident, he tries to cope, but things become difficult as the characters continue to intertwine in unexpected ways.	American
Red Amnesia	2015	drama	Wang Xiaoshuai	Lü Zhong, Feng Yuanzheng, Qin Hailu, Qin Hao, Shi Liu	"Red Amnesia follows a family living in modern Beijing. Deng Meijuan, a widowed lady, lives on her own in a small rundown flat. Her relationships with her sons are strained - Elder son, Jun, is married and lives in a comfortable and modern apartment with his family, while younger son, Bing, has a boyfriend who Deng pretends she does not know about. Deng visits her sons and elderly mother at a nursing home regularly.
Soon, Deng's comfortable life pattern is disrupted by strange occurrences, consequences of a decision she had made during the Cultural Revolution, that no doubt had impacted the lives of others in the present."	Chinese
The Crossing: Part 2	2015	drama	John Woo	Zhang Ziyi, Takeshi Kaneshiro, Song Hye-kyo, Huang Xiaoming, Tong Dawei, Masami Nagasawa, Qin Hailu, Cong Shan, Angeles Woo, Yu Zhen, Faye Yu, Tony Yang, Yang Kuei-mei, Wang Qianyuan, Bowie Lam, Lin Mei-hsiu, Jack Kao, Denny Huang, Kou Chia-jui, Xu Huanhuan, You Yong, Liu Yiwei, Hitomi Kuroki, Johnny Kou	During the Chinese Revolution in 1949, three couples flee from China to the island of Taiwan. Gen. Lei Yifang (Huang Xiaoming) returns to Shanghai highly decorated, and swiftly wins the hand of wealthy debutante Yunfen (Song Hye-kyo). Yen Zekun (Takeshi Kaneshiro), a Taiwanese doctor settling down to normal life in his hometown after years as a forcibly-drafted field medic in the Japanese army during World War II. Perhaps a little more than conveniently, he meets Zhou, who has moved into the house once occupied by his Japanese paramour Masako (Masami Nagasawa) – a friendship anchored by their shared longing for a distant beloved. Yu Zhen (Zhang Ziyi), an illiterate young woman who came into the equation when Tong pays her to have a photograph taken together as a couple as a proof of marriage, which would provide his family back home with more food rations. This financial exchange is a harbinger of Yu's unraveling existence, as unforgiving circumstances eventually force her to go into prostitution so as to secure enough money to travel to Taiwan with hope of finding her missing lover.	Chinese
The Road Within	2015	drama	Gren Wells	"Robert Sheehan
Dev Patel
Zoë Kravitz"	"After his mother's death, Vincent (Robert Sheehan), a teenager with Tourette Syndrome, is enrolled in a behavioural facility by his father. While there he rooms with Alex (Dev Patel), a Brit with obsessive compulsive disorder, and meets Marie (Zoë Kravitz) who is in recovery for an eating disorder.
After a child films Vincent with his cellphone and Vincent attacks him, he and Marie are called into Dr. Rose's office where she chastises them and Marie steals her car keys. When Alex discovers Marie and Vincent running away in the middle of the night, he attempts to warn Dr. Rose and is kidnapped by them. The three of them head towards the ocean where Vincent hopes to scatter his mother's ashes. However Vincent does not remember the exact location of the beachside trip he and his mother made years ago. The trio finally settle on Santa Cruz as their destination.
Dr. Rose informs Vincent's father, Robert, that his son has gone missing and rather than allow the police to apprehend them, she and Robert attempt to track them down. Along the way Marie develops a crush on Vincent.
When they finally reach the ocean Marie collapses before they can reach the water. Marie is hospitalized and while there, the three are reunited with Dr. Rose and Robert. Marie, who is being force fed and has been restrained asks Vincent to run away with her but Vincent refuses. Instead he has a conversation with his father, who apologizes for treating him poorly and decides to stay in Santa Cruz so he can be near Marie. Rather than leave with Dr. Rose, Alex decides to stay with him."	American
Far from the Madding Crowd	2015	drama	Thomas Vinterberg	"Carey Mulligan
Matthias Schoenaerts
Michael Sheen
Tom Sturridge"	"In 1870 Victorian England, Bathsheba Everdene (Carey Mulligan) is working on her aunt's farm in Dorset. Gabriel Oak (Matthias Schoenaerts), a new neighbour, sees Bathsheba riding her horse and falls in love with her. He proposes, but the headstrong Bathsheba declines, saying she is too independent and he would grow to despise her. One night a new sheepdog chases Gabriel's entire flock off a cliff. He settles his debts and is left penniless. He leaves in search of work. In contrast, Bathsheba inherits a farm from her uncle and leaves to take charge of it.
While Gabriel is at a fair trying to find employment, local soldiers attempt to recruit him and other townsmen. A young girl, Fanny Robin, notices him and points out one of the soldiers, Sergeant Frank Troy, her sweetheart. She suggests Gabriel seek employment at a farm in Weatherbury. Gabriel arrives to find several buildings on fire and saves the barn from destruction. At dawn the next day he is introduced to the farm's new mistress: Bathsheba. She hires him as a shepherd. In the meantime, Fanny goes to the wrong church for her wedding and Troy, apparently jilted, is devastated.
In town, Bathsheba proves to be a shrewd trader when selling her seed. She immediately is drawn to her neighbour William Boldwood (Michael Sheen), a prosperous and mature bachelor. Bathsheba sends Boldwood a Valentine as a joke, and he, both offended and intrigued, soon proposes marriage. Bathsheba says she does share his feelings but delays giving him a final answer. Gabriel admonishes Bathsheba for being foolish and unkind by playing with Boldwood's affections. She is stung by his criticism, and fires him, but the next day, given a crisis with the sheep that only he can manage, she sends after him and then pursues him to ask him to return. After her personal appeal, he comes back, saves some of the sheep, and stays on the farm.
One night while walking around her land, Bathsheba meets Troy, who is mesmerized by her beauty. Uncomfortable, she tells him he should not be there, but the next day he returns to help with the harvest. Bathsheba learns he is of a noble family, but tells him to leave. He flirts with her and flatters her, and arranges a secret meeting. At their rendezvous in the woods, he shows off his swordplay, telling her not to flinch as he swings his sword around her head and body. He finally embraces her in a passionate kiss and Bathsheba is left in a daze. Gabriel warns her that Frank is dangerous and dishonourable, but she nevertheless elopes with him, and they share their wedding night together.
Returning to the farm, the newly married couple celebrate with all the workers. Gabriel warns of an approaching storm, but the belligerent and drunk Frank interrupts him and insists that the party will not allow it to rain. Gabriel attempts by himself to cover the harvest with tarpaulins and Bathsheba, ashamed of Frank's drunken behavior with the other men, comes out into the wind and rain to help. Chastened, she tells Gabriel that she was a fool to fall prey to Frank's flattery.
One day in town, Frank sees Fanny begging. She tells him she had gone to the wrong church, and that she is pregnant with his baby. He promises her he will find a home for them, and that she should stay in the workhouse in the meantime. Frank, a degenerate gambler, asks Bathsheba for £20 and she refuses, saying the money is for farm expenses. Fanny and her baby die in childbirth; their coffin is delivered to Bathsheba's farm, which was her last known address. Bathsheba recognizes the name as one of her uncle's loyal servants and says the coffin should be brought inside for mourning. The words ""Fanny Robin and child"" are written on the coffin, but Gabriel surreptitiously erases ""and child"" from the slate while bringing it in. Bathsheba reads the erasure, opens the coffin, and discovers the mother and baby within. Frank, upon seeing Fanny and his dead baby, bends over the coffin and kisses Fanny's lips. Bathsheba protests that she is still his wife, but he coldly responds that even in death Fanny means more to him than Bathsheba ever had meant or ever could mean. In grief Frank goes to the beach, where he strips off his uniform and swims far into the ocean. The next day the constable arrives to inform Bathsheba that Frank has apparently drowned.
Left with Frank's gambling debts, Bathsheba worries she may lose the farm. Boldwood offers to buy it and merge it with his property, offering Gabriel a position as bailiff, and again proposes marriage. Bathsheba agrees to consider his offer. On the eve of the Christmas party he plans to throw, Boldwood shares with Gabriel that he knows of the affection he feels for Bathsheba, but adds he appreciates that he has been such a gentleman in the entire matter, and shows Gabriel the engagement ring he plans to offer her.
At the party, Boldwood graciously invites Gabriel and Bathsheba to share at least one dance. As they dance, she again asks Gabriel what she should do, and he answers simply to ""Do what is right"". She breaks off the dance and leaves, only to discover Frank, alive and well, slumbering up the pathway, outside. He was rescued from drowning but has faked his death for some weeks, preferring the idea of being 'dead.' Regretting his decision, he has returned and demands money from Bathsheba, claiming it was unfair that he gave up his profession for her and now lives off nothing while she has money and a house. When she insists she has no money, Frank demands that she sell the farm and grabs her roughly, screaming that she is still his wife and must obey him. Enraged, Boldwood emerges from the house and kills Frank with a single blast from his rifle, for which he is promptly imprisoned. As Gabriel witnesses all the finery, many dresses and jewellery, that Boldwood had already laid out upstairs in anticipation of Bathsheba's 'yes' answer, Bathsheba is remorseful and guiltridden. Gabriel tells her that if it's any consolation Boldwood is bound to be spared his life, for acting in a 'crime of passion'.
Some time later, Gabriel announces that since the farm is now secure, he'll be emigrating to America in four days time. As he leaves on foot early in the morning, Bathsheba stays at the farm battling her feelings and stubbornness. Finally, she chases after him on horseback and begs him not to leave, thanking him for all he's done for her, and always believing in her. Gabriel tells her, if only she would accept his love, then asks her if she would agree were he to propose again. Bathsheba smiles and tells him he needs ask once more. Gabriel kisses her passionately in response, and they walk back hand in hand."	American
 The Butterfly Tree	2017	drama	Priscilla Cameron	Melissa George, Ewen Leslie, Ed Oxenbould, Sophie Lowe	Evelyn is an ex-burlesque queen who puts a curse on single dad Al and his son Fin with her zest for life. When both Al and Fin learn they are competing for Evelyn's love, their competition brings back memories over the death of Fin's mother.	Australian
Bad Seeds (Les Mauvaises herbes)	2016	drama	Louis Bélanger	Alexis Martin, Gilles Renaud, Emmanuelle Lussier-Martinez	The movie actually begins as the story of Jacques (Alexis Martin), a struggling actor who is being harassed by the mob because of gambling debts. Jacques flees the city and lands in a rural outpost at the home of a reclusive farmer, Simon (Gilles Renaud). Simon has his own debts to a gang of local criminals, but the marijuana he’s raising far from the snooping eyes of authorities could solve his problems, and Jacques sees a way out of his difficulties if he can team up with Simon. They acquire a third partner when a young utility inspector, Francesca (Emmanuelle Lussier-Martinez), comes to investigate why Simon’s electricity bill is so high. The two men capture her, but she convinces them that she has something to add to their enterprise, and in fact, she proves to be a pretty tough negotiator as she takes charge of the two men’s operation.[7]	Canadian
Anesthesia	2016	drama	Tim Blake Nelson	"Sam Waterston
Tim Blake Nelson
Kristen Stewart"	Philosophy professor Walter Zarrow is wounded during a mugging. In an effort to escape he rings buzzers indiscriminately, waking Sam, a middle-aged father of two having an affair in the city. Sam reluctantly answers Zarrow's pleas, and Zarrow loses consciousness in his arms. Through an exploration of why these men, along with the mugger, and an addict named Joe, come together, we explore New York City. The experience of Zarrow, Sam, Joe and Zarrow's assailant ripple quickly out to include the connected lives of a housewife struggling with alcoholism, a stoner teen desperate to lose his virginity, a brilliant but failed writer fighting addiction, two parents confronting the prospect of terminal illness, and a brilliant grad student who harms herself to feel alive.	American
Little Big Master	2015	drama	Adrian Kwan	Miriam Yeung, Louis Koo, Richard Ng, Ng Yuen-yee, Philip Keung, Rain Lau, Dhillon Harjit Singh, Stanley Fung, Marc Ma, Lee Ka-wing, Bonnie Wong	"Lui Wai-hung (Miriam Yeung) is a headmistress of an international kindergarten. Feeling disillusioned with the education system, she quits her high-paying job as a principal and plans to travel around the world with her husband Tse Wing-tung (Louis Koo). However, she puts her travel plans on hold when she sees a news report on television where Yuen Tin Kindergarten, located in Yuen Long, was on the verge of closure with only five students left. Also, due to financial difficulties, the school can only use HK$4,500 to hire a headmaster and staff. Rekindling her passion for teaching, Lui applies for the job and hopes to help the five children transfer to another school. When Headmistress Lui assumes office, she discovers that these five children have different family problems. Student Ka-ka's father (Philip Keung) was crippled during an accident and is often threatened by property developers with eviction; Mei-chu's parents were killed in a traffic accident, with Auntie Han (Anna Ng), a restaurant employee, as her only guardian; Siu-suet's mother was not approved for Hong Kong residency and lives with her elderly father Mr. Ho (Richard Ng), who sells metal scraps for a living; Pakistani sisters Kitty and Jennie's father does not see a need for girls to study, so when school bus prices increased, he simply did not allow his daughters to go to school anymore.
Faced with the problems of her students, Lui does her best to help them, such as acting as a volunteer driver and picking Kitty and Jennie up for school, sorting out Ka-ka's family problems, etc. At the same time, she also has to deal with school administrations, while also taking care of janitorial work. In addition, Lui reminds her students and their parents to have a dream, while her own dream is to be a teacher who never gives up. Later, when she finds out she was not able to help her students transfer, she decides to recruit new students for the school. At this time, however, Lui suffers from a recurrence of an old tumour."	Chinese
Lowriders	2017	drama	Ricardo de Montreuil	Ricardo de Montreuil (director); Justin Tipping (screenplay); Demián Bichir, Gabriel Chavarria, Theo Rossi, Melissa Benoist, Tony Revolori, Eva Longoria, Cress Williams, Yvette Monreal	A contemporary tale about a teen whose loyalties are tested when an annual lowrider event forces him to choose between his father and his criminal brother.	American
The Founding of an Army	2017	drama	Andrew Lau	Liu Ye, Zhu Yawen, Huang Zhizhong	The story begins in 1927 at the beginning of the Nanchang uprising, known as the first major Kuomintang–Communist engagement.	Chinese
Duckweed	2017	drama	Han Han	Deng Chao, Eddie Peng, Zhao Liying	"The film tells the story about the reconciliation between a father and his son. Ah Lang, a youth from a small town, thinks that his father Ah Zheng never understood his occupation and life. In a fateful occurrence, he is able to experience his father's legendary and interesting life in the past.
Movie started with Xu Tailang (Deng Chao) winning the 2022 China Rally Championship as his aging father, Xu Zhengtai (Eddie Peng) watches. Following this, while taking his father for a speed drive an oncoming train crashes into the side at rear end of his car as it jumps over the railway track As he lies on the gurney being pushed along the corridor of a hospital, he sees himself transported back in time to 1998 in the town where he was born. Thus, begins his comical adventures with his young father (Eddie Peng) and the people during that time period, at the same time meeting his mother whom he has never seen in person because she committed suicide due to postpartum depression after giving birth to him. Through it all, he learns how his father lived his life then, how much he loved his mother (Zanilia Zhao), why he went to prison for six years, understands his father better and gains respect for him."	Chinese
Battle of Memories	2017	drama	Leste Chen	Huang Bo, Xu Jinglei, Duan Yihong, Yang Zishan, Hsu Wei-ning	Jiang Feng, a writer, underwent a procedure to erase some of his memories. At the memory center, there was an incident and he dropped his memory-restore-key card. He delivers divorce papers to his wife, but she refuses to sign the divorce papers until he restores his memories back. After his memory restoration procedure, he finds himself in the mind of a serial killer.[5]	Chinese
 Ruben Guthrie	2015	drama	Brendan Cowell	Patrick Brammall, Alex Dimitriades, Abbey Lee	Life is good for Ruben Guthrie (Patrick Brammall), who works as an advertisement executive and leads a lifestyle of a party boy and lives in a house on the water with his model fiancée. He's at the top of his game until Ruben lands at the bottom of his infinity pool from some drunken skylarking. Ruben's fiancée leaves him, but says she'll get back with him if he can go a year without drinking.	Australian
Hellion	2014	drama	Kat Candler	"Aaron Paul
Juliette Lewis
Josh Wiggins
Deke Garner"	Thirteen-year-old Jacob's increasing delinquent behavior forces Child Protective Services to place his little brother, Wes, with his aunt. Jacob and his emotionally absent father, Hollis, must finally take responsibility for their actions and for each other in order to bring Wes home.	American
My Teacher	2017	drama	Takahiro Miki	Toma Ikuta, Suzu Hirose, Ryo Ryusei, Aoi Morikawa, Kentaro, Tomoya Nakamura	"Second year high school student and archery enthusiast Hibiki Shimada has never felt romantic love all her life. This comes despite befriending Megumi Chigusa and Kosuke Kawai, two lovestruck teenagers who shamelessly flaunt their feelings for the school's mathematics and visual arts teachers, Masato Sekiya and Sachiko Nakajima, respectively.
One day, Hibiki wrongly sends Chigusa's love letter for Sekiya to Kosaku Ito, the school's history teacher. Volunteering to take it back, she ends up becoming attracted to him. Days after their meeting, Hibiki is further fascinated by Ito's kindness, as he is well-known among the school as a stern and cold person. Ito takes Hibiki to a hospital when he spots her limping with a wounded leg, helps her finish an assignment after hours, and frequently gives her a ride home. Meanwhile, Chigusa quietly drops her romantic pursuit when she finds out that Sekiya is in love with Nakajima. However, Hibiki and Kosuke learn shortly after that Nakajima is in love with Ito when they overhear her confession to Ito, who rejects her.
Eventually, Hibiki professes her love to Ito before the finals. She makes a deal with him: if she manages to score over 90 in the history test, he will allow her to love him. Along the way, Hibiki is discouraged from reaching her goal by Nakajima and Ito himself. She regains her spirit after a pep talk with Yusuke Fujioka, an archery student from a neighboring school. Her efforts bear fruit when the test results are out. During the cultural festival, she approaches Ito in a wedding dress and pledges that she will love him forever. Unexpectedly, Ito kisses her. The next day, words of the kiss spread among the school. Hibiki is suspended, while Ito is called for disciplinary action. When the two meet later, Ito decides to end their relationship. Dejectedly walking home, Hibiki is comforted by Fujioka, who confesses his feelings for her.
The result of the disciplinary meeting is announced the next day: Ito will leave his post. As she is still suspended, Hibiki does not learn about it until Chigusa hurriedly goes to her home and pleads her to meet with him one last time. Kosuke, angry at Ito's halfheartedness, gives him a tongue lashing about abandoning Hibiki, asking him whether the words he said at the disciplinary meeting — that he sincerely loves Hibiki — were lies. Each encouraged, Hibiki and Ito race for a final meeting, where Ito promises to wait until Hibiki's graduation for them to begin a relationship.
Around one and a half year later, Hibiki graduates. Chigusa has found love in an underclassman, while Kosuke is still attempting to woo Nakajima, this time as an adult. As she is walking home, Hibiki is greeted by Ito."	Japanese
9/11	2017	drama	Unknown	Charlie Sheen, Whoopi Goldberg	"On the morning of September 11, 2001, a messenger sings ""Happy Birthday to You"" to his daughter, a billionaire argues with his wife in a divorce hearing, a maintenance man begins his day, and a young Russian decides she's breaking up with her sugar daddy. When the first plane hits the World Trade Center, these five elevator passengers find themselves trapped. Forced to band together, they fight against all odds to escape before the imminent and inevitable collapse occurs.
Based on Patrick James Carson's award-winning play Elevator, which premiered in October 2011 at the Red Barn Theater of Tucson, Arizona."	American
Lamb	2016	drama	Ross Partridge	"Ross Partridge
Oona Laurence
Jess Weixler"	"The film opens with David Lamb (Ross Partridge) visiting his sick and dying father Walter Lamb (Ron Burkhardt). After visiting his father, David goes to his motel room, where he is currently living. David's father dies. After attending his father's burial, David ends up in a parking lot ""in a particularly depressed-looking corner of Chicago,"" smoking, where Tommie (Oona Laurence) is sent by her friends to ask David for a cigarette. When asked, David gives her a cigarette, and Tommie shows him her friends. Tommie asks David to scare her friends by pretending to kidnap her. He tries to prove a point to her and brings her home.
Back at David's work his boss, Wilson (Joel Murray) gives David his condolences, and insists that David take some time off work. David runs into Tommie at the parking lot, and offers to buy her lunch. Back at Tommie's home, her mother Linda (Lindsay Pulsipher), and her mother's boyfriend Jesse (Scoot McNairy), ask where she has been. The next day, Tommie and David hang out again; David asks Tommie to go on a camping trip for a week. He tells her he would bring her back before any one would start to worry. At a hotel, David tells Tommie he wants her to think if she really wants to stay, or go back home. He tells her this might look like a kidnapping due to their age differences so she can leave at any time. Tommie decides to stay.
At a truck stop, Melissa (Jennifer Lafleur) sees Tommie crying. Tommie lies and says her name is ""Emily."" Tommie tells David she wants to go home; he tells her he could take her home, like he said he would earlier. The next day, David and Tommie hang out by a lake. While there at the lake, Foster (Tom Bower), a neighbor of theirs at the cabin, tells the two of them that they are on private property. David tells him he's with his niece Emily aka Tommie. Returning from the mountains, Tommie asks David if she could have a root beer; David asks Tommie to get him a beer; she asks if she can have some of the beer, and he agrees she can have one sip of it. Foster walks into the room, where he sees Tommie holding the beer. David pretends to yell at ""Emily"" and apologizes to Foster what happened. Foster warns David there are unfriendly neighbors nearby who don't like kids. One morning, David notices a car approaching the cabin; he takes puts Tommie in a closet and tells her not to be seen. The car turns out to be driven by Linny (Jess Weixler) who came to give David company.
David tells Tommie to run to the shop quietly as she can. Later that night, Tommie asks David why Linny called him ""David"" instead of ""Gary"". He tells her, it's to ""protect her/us"". While David is talking to Tommie one morning, Linny walks in, and almost catches Tommie. Linny tells David she's going to get mattresses from the other room; David lies, since Tommie is hiding in that room, by telling her a fake ghost story about ""Emily"". Tommie is seen running from the cabin, to Foster's house. She approaches the cabin and sees David and Linny having sex. David notices that Tommie is watching. David tells Tommie they are going to head back home. Once they arrive at their hometown, the two emotionally say goodbye.
The film ends with Tommie chasing after David as he drives away."	American
